	(1)	(2)	(3)	(4)	(5)
	modelo_1	modelo_2	modelo_3	modelo_4	modelo_5
VARIABLES	deltaVIS	deltaVIS	deltaVIS	deltaVIS	deltaVIS
					
Tratamiento1	392.2***	441.0***	408.3**	407.9**	350.4**
	(142.2)	(144.5)	(161.8)	(164.8)	(166.5)
DeficitHabitacional0		-1,737	-1,562	-1,583	-774.7
		(1,261)	(1,330)	(1,376)	(1,441)
indiceHHI0			0.0109	0.0102	0.0211
			(0.0230)	(0.0248)	(0.0258)
valorsuelourb0				-2.29e-05	4.12e-05
				(0.000269)	(0.000275)
Alineadoalc_con0					68.58
					(157.0)
Alineadoalc_nal0					263.1
					(183.4)
2.dept1	23.33	27.39	54.53	60.93	85.37
	(250.3)	(246.7)	(256.4)	(271.7)	(274.7)
3.dept1	69.48	47.22	51.69	49.41	85.09
	(421.1)	(415.2)	(421.0)	(429.5)	(425.7)
4.dept1	4.404	614.1	547.8	555.2	292.6
	(317.2)	(541.9)	(566.7)	(583.5)	(600.0)
5.dept1	-56.91	-69.85	-63.14	-64.07	-139.1
	(273.9)	(270.1)	(274.1)	(279.3)	(280.4)
6.dept1	87.11	17.09	-31.09	-30.40	-361.0
	(421.1)	(418.0)	(435.6)	(443.6)	(480.3)
7.dept1	52.64	213.5	184.4	185.9	119.8
	(421.1)	(431.0)	(441.1)	(449.5)	(447.7)
8.dept1	123.8	559.4	459.3	466.8	229.9
	(421.1)	(521.7)	(569.1)	(586.0)	(599.4)
9.dept1	73.11	901.4	859.9	865.5	544.2
	(421.1)	(730.7)	(745.7)	(762.2)	(776.6)
10.dept1	500.8**	466.3**	469.1**	468.7**	322.7
	(209.5)	(208.0)	(210.9)	(214.8)	(229.9)
11.dept1	118.2	209.3	152.5	155.4	-244.6
	(421.1)	(420.1)	(442.2)	(451.6)	(505.8)
12.dept1	41.33	772.0	698.2	705.5	387.5
	(421.1)	(673.6)	(700.1)	(717.9)	(734.9)
13.dept1	97.72	250.0	203.2	205.7	-206.4
	(421.1)	(429.4)	(446.2)	(455.2)	(512.4)
14.dept1	127.8	418.9	363.1	366.6	158.9
	(421.1)	(465.7)	(486.3)	(496.8)	(514.3)
15.dept1	109.7	296.1	241.1	244.2	-22.56
	(319.8)	(343.0)	(366.3)	(374.8)	(403.9)
16.dept1	139.1	128.1	112.4	112.7	52.28
	(421.1)	(415.0)	(421.9)	(429.6)	(437.1)
17.dept1	244.4	163.5	158.9	157.4	72.35
	(319.8)	(320.6)	(325.1)	(331.4)	(343.3)
18.dept1	3.233	93.79	97.69	100.9	56.83
	(235.3)	(241.0)	(244.4)	(251.8)	(249.8)
19.dept1	58.31	714.3	690.1	693.8	120.8
	(421.1)	(631.7)	(642.3)	(655.4)	(732.4)
20.dept1	184.0	236.1	207.7	208.9	113.2
	(421.1)	(416.6)	(426.5)	(434.5)	(443.2)
21.dept1	116.2	224.8	235.5	239.9	64.65
	(209.3)	(220.8)	(224.9)	(234.8)	(258.3)
Constant	-0.542	325.5	250.9	259.5	42.56
	(165.1)	(287.2)	(330.7)	(351.7)	(370.7)
					
Observations	52	52	52	52	52
R-squared	0.381	0.419	0.424	0.424	0.482
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
